Covered_Recipient_Type,Teaching_Hospital_ID,Teaching_Hospital_Name,Physician_Profile_ID,Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,658.84,12/31/2015,In-kind items and services,254936860,,,"Multicentre, Double-blind, Randomized, Parallel Group, Phase 3 Safety Extension Study to Evaluate the Safety and Tolerability of Benralizumab MEDI-563 in Asthmatic Adults and Adolescents on Inhaled Corticosteroid Plus Long-acting Beta2 Agonist BORA",,
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,HOLOGIC INC,100000010400,HOLOGIC INC,MA,9375.00,10/21/2015,Cash or cash equivalent,239738556,,,Protocol 15 01 ALARA2015 1,,A prospective program to collect clinical image data from both 2D FFDM and 3D tomosynthesis mammograms for use in testing and refining the performance of a supervised pixel based machine learning SPML technique to reduce noise and artifacts in FFDM and tomosynthesis images acquired at a reduced xray radiation dose
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,HOLOGIC INC,100000010400,HOLOGIC INC,MA,5000.00,11/12/2015,Cash or cash equivalent,239738560,,,Protocol 15 01 ALARA2015 1,,A prospective program to collect clinical image data from both 2D FFDM and 3D tomosynthesis mammograms for use in testing and refining the performance of a supervised pixel based machine learning SPML technique to reduce noise and artifacts in FFDM and tomosynthesis images acquired at a reduced xray radiation dose
Non-covered Recipient Entity,,,,,,,411 Laurel St,,Des Moines,50314-3017,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,24850.43,01/13/2015,Cash or cash equivalent,254909914,BRILINTA,,A Multinational  Randomised  Double Blind  Placebo Controlled Trial to Evaluate the Effect of Ticagrelor 90 mg twice daily on the Incidence of Cardiovascular Death  Myocardial Infarction or Stroke in Patients with Type 2 Diabetes,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,45546.90,12/31/2015,In-kind items and services,254938724,,,Efficacy and Safety Study of Benralizumab to Reduce OCS Use in Patients With Uncontrolled Asthma on High Dose Inhaled Corticosteroid Plus LABA and Chronic OCS Therapy,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,13612.25,01/14/2015,Cash or cash equivalent,254941378,BRILINTA,,"A Randomised, Double-Blind, Placebo Controlled, Parallel Group, Multicenter Trial, to Assess the Prevention of Thrombotic Events with Ticagrelor Compared to Placebo in Addition to Existing Acetyl Salicylic Acid ASA Therapy in Patients with History of Myocardial Infarction and Risk of Thrombotic Even",,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,5454.14,04/30/2015,In-kind items and services,254939708,,,High dose ICS LABA 2ndController Study SIROCCO,,
Non-covered Recipient Entity,,,,,,,411 Laurel St,,Des Moines,50314-3017,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,1008.26,12/31/2015,In-kind items and services,254949428,BYDUREON,,Exenatide Study of Cardiovascular Event Lowering EXSCEL A Placebo controlled Double blind Trial Examining the Effect of Exenatide QW Treatment on Major Macrovascular Events in Patients with Type 2 Diabetes with Elevated CV Risk,,
Covered Recipient Teaching Hospital,2938,Mercy Medical Center-Des Moines,,,,,1111 6th Ave,,Des Moines,50314,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,39050.00,07/15/2015,Cash or cash equivalent,254943524,BRILINTA,,Affordability and Real world Antiplatelet Treatment Effectiveness After Myocardial Infarction Study Current patterns of P2Y12 receptor inhibitor use provide an excellent opportunity to test the impact of copayment reduction on clinician choice of medication patient adherence and clinical outcomes,,
Covered Recipient Teaching Hospital,2815,Trinity Bettendorf,,,,,4500 Utica Ridge Rd,,Bettendorf,52722,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,17634.74,01/13/2015,Cash or cash equivalent,254933524,FARXIGA,,"Dapagliflozin Effect on Cardiovascular Events  A Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Effect of Dapagliflozin 10 mg Once Daily on the Incidence of Cardiovascular Death, Myocardial Infarction or Ischemic Stroke in Patients with Type 2 Diabetes",,
