Covered_Recipient_Type,Teaching_Hospital_ID,Teaching_Hospital_Name,Physician_Profile_ID,Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,6100.00,09/26/2014,Cash or cash equivalent,120279521
Covered Recipient Physician,,,55556,CLIFFORD,KENT,BOESE,1 EDMUNDSON PL,STE 500,COUNCIL BLUFFS,51503-4619,Medical Doctor,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,800.00,04/01/2014,Cash or cash equivalent,120278745
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PL,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,1250.00,03/18/2014,Cash or cash equivalent,120279501
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PL,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,8575.00,03/18/2014,Cash or cash equivalent,120279503
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242-1302,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,9350.00,12/18/2014,Cash or cash equivalent,120280119
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,600.00,09/26/2014,Cash or cash equivalent,120279505
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1200.00,05/19/2014,Cash or cash equivalent,131474344
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1102.50,10/03/2014,Cash or cash equivalent,131465456
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,2207.00,08/07/2014,Cash or cash equivalent,120566241
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,5543.00,01/23/2014,Cash or cash equivalent,120566711
Non-covered Recipient Entity,,,,,,,1350 Beardshear Hall,,Ames,50011,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,460.00,11/04/2014,Cash or cash equivalent,120565581
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,2073.00,09/09/2014,Cash or cash equivalent,120566217
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,1347.00,01/16/2014,Cash or cash equivalent,120566045
Non-covered Recipient Entity,,,,,,,1350 Beardshear Hall,,Ames,50011,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,2357.00,11/13/2014,Cash or cash equivalent,120566271
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,5523.00,03/27/2014,Cash or cash equivalent,120566709
Non-covered Recipient Entity,,,,,,,1350 Beardshear Hall,,Ames,50011,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,3715.00,09/04/2014,Cash or cash equivalent,120566513
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,362.00,06/05/2014,Cash or cash equivalent,120565503
Non-covered Recipient Entity,,,,,,,6001 Westown Pkwy,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,3755.00,09/04/2014,Cash or cash equivalent,120566521
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,870.00,02/18/2014,Cash or cash equivalent,131474356
Covered Recipient Teaching Hospital,1761,Univ of Iowa Hosp & Clinic,,,,,200 Hawkins Drive,,Iowa City,52242,,,"Dexcom, Inc.",100000010478,"Dexcom, Inc.",CA,23812.51,05/16/2014,Cash or cash equivalent,153798922
Covered Recipient Teaching Hospital,1761,Univ of Iowa Hosp & Clinic,,,,,200 Hawkins Drive,,Iowa City,52242,,,"Dexcom, Inc.",100000010478,"Dexcom, Inc.",CA,58723.58,11/06/2014,Cash or cash equivalent,153798926
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1062.50,01/23/2014,In-kind items and services,120244689
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,500.00,02/24/2014,In-kind items and services,120244691
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,625.00,09/16/2014,In-kind items and services,120244699
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1300.00,09/16/2014,In-kind items and services,120244695
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1706.25,09/16/2014,In-kind items and services,120244697
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,2471.61,01/31/2014,Cash or cash equivalent,131464530
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,3500.00,01/06/2014,Cash or cash equivalent,131474664
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,250.00,11/17/2014,Cash or cash equivalent,131474310
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,3000.00,01/03/2014,Cash or cash equivalent,131474368
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1282.50,01/03/2014,Cash or cash equivalent,131465378
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1462.50,03/18/2014,Cash or cash equivalent,131465468
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1075.00,06/02/2014,Cash or cash equivalent,131464524
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,7222.50,08/18/2014,Cash or cash equivalent,131465460
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,2250.00,01/03/2014,Cash or cash equivalent,131474366
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,330.00,01/03/2014,Cash or cash equivalent,131474370
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1100.00,07/03/2014,Cash or cash equivalent,131464522
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1671.61,04/04/2014,Cash or cash equivalent,131464526
Non-covered Recipient Entity,,,,,,,207 CROCKER ST,STE 300,DES MOINES,50309-1318,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1750.00,01/21/2014,Cash or cash equivalent,131463156
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1095.00,10/03/2014,Cash or cash equivalent,131474324
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,360.00,06/16/2014,Cash or cash equivalent,131474660
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1260.00,04/21/2014,Cash or cash equivalent,131465466
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,225.00,03/03/2014,Cash or cash equivalent,131464528
Covered Recipient Teaching Hospital,1759,GENESIS MEDICAL CENTER,,,,,1227 E Rusholme St,,Davenport,52803,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,500.00,04/04/2014,Cash or cash equivalent,131472476
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,550.00,09/12/2014,Cash or cash equivalent,131464518
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,525.00,08/18/2014,Cash or cash equivalent,131464520
Covered Recipient Teaching Hospital,1759,GENESIS MEDICAL CENTER,,,,,1227 E Rusholme St,,Davenport,52803,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,656.25,01/03/2014,Cash or cash equivalent,131472482
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,4032.00,01/13/2014,Cash or cash equivalent,120566543
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,863.00,11/12/2014,Cash or cash equivalent,120565837
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,1336.00,05/20/2014,Cash or cash equivalent,120566039
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,500.00,05/29/2014,Cash or cash equivalent,120565629
Non-covered Recipient Entity,,,,,,,5880 University Ave,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,560.00,10/30/2014,Cash or cash equivalent,120565713
Non-covered Recipient Entity,,,,,,,6001 Westown Pkwy,,West Des Moines,50266,,,"Medtronic, Inc.",100000000106,"Medtronic, Inc.",MN,365.00,11/12/2014,Cash or cash equivalent,120565511
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,2000.00,11/21/2014,Cash or cash equivalent,120279513
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1125.00,12/05/2014,In-kind items and services,120244693
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,2350.00,09/30/2014,Cash or cash equivalent,120279509
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,5950.00,09/26/2014,Cash or cash equivalent,120279511
